hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
City Hotel,March,13,20,2,5,2,BB,DEU,Online TA,TA/TO,D,D,0,No Deposit,Transient,86.32,0,1,0
City Hotel,September,38,13,0,2,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
City Hotel,March,11,15,0,3,2,BB,IRL,Online TA,TA/TO,D,D,0,No Deposit,Transient,106.2,0,1,0
City Hotel,August,34,26,2,1,2,BB,ESP,Direct,Direct,B,B,1,No Deposit,Transient,123.05,1,0,0
Resort Hotel,August,31,1,4,6,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,174.7,0,3,1
City Hotel,June,25,12,2,4,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,March,12,18,0,2,2,BB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,70.0,0,2,0
City Hotel,February,8,25,0,1,1,BB,PRT,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,75.0,0,0,0
City Hotel,August,33,17,2,4,2,BB,ROU,Online TA,TA/TO,A,A,0,No Deposit,Transient,137.85,0,0,1
Resort Hotel,August,35,28,1,5,2,HB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,215.33,0,1,1
Resort Hotel,November,45,3,3,10,1,BB,CZE,Corporate,Corporate,A,A,5,No Deposit,Transient,40.0,0,0,0
City Hotel,November,46,7,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,100.0,0,0,1
Resort Hotel,March,12,19,2,0,2,BB,GBR,Online TA,TA/TO,A,A,1,No Deposit,Transient-Party,39.8,0,3,0
Resort Hotel,June,25,17,2,5,2,BB,NLD,Offline TA/TO,TA/TO,A,C,1,No Deposit,Transient,61.0,0,1,0
City Hotel,August,32,4,0,1,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,0.0,0,0,1
City Hotel,September,39,19,1,0,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,65.0,0,0,0
City Hotel,July,30,18,1,2,2,BB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.3,0,2,0
City Hotel,October,42,12,1,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
City Hotel,May,18,4,1,3,3,BB,DEU,Online TA,TA/TO,D,D,0,No Deposit,Transient,171.0,0,0,1
City Hotel,January,3,15,2,2,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,103.81,0,2,0
City Hotel,May,20,13,1,2,2,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,0,0
City Hotel,August,34,20,2,2,2,BB,USA,Online TA,TA/TO,D,D,0,No Deposit,Transient,99.87,0,1,0
City Hotel,May,18,5,1,2,2,BB,TUR,Online TA,TA/TO,D,D,0,No Deposit,Transient,135.0,0,0,1
Resort Hotel,August,32,3,0,4,2,HB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,221.0,0,0,1
City Hotel,April,17,20,0,2,2,HB,AUT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,98.0,0,0,0
City Hotel,February,6,9,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.0,0,0,1
City Hotel,March,14,31,0,2,2,BB,IRN,Direct,Direct,E,F,0,No Deposit,Transient,165.0,0,0,1
City Hotel,September,40,28,0,2,2,BB,PRT,Complementary,TA/TO,A,K,2,No Deposit,Transient-Party,70.0,0,0,0
Resort Hotel,July,30,24,3,8,2,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,137.0,0,0,0
City Hotel,September,40,30,0,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,170.0,0,0,1
City Hotel,April,16,20,0,2,2,SC,NZL,Online TA,TA/TO,A,A,0,No Deposit,Transient,115.0,0,3,1
Resort Hotel,September,39,23,2,2,2,HB,PRT,Direct,Direct,F,F,2,No Deposit,Transient,169.5,0,0,0
City Hotel,March,13,31,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,July,31,31,1,5,2,HB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,175.5,0,1,1
City Hotel,June,25,12,2,4,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,February,8,17,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,August,35,22,1,4,2,HB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,204.0,1,1,0
City Hotel,May,22,29,1,0,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,140.0,0,0,1
City Hotel,September,38,13,0,2,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
Resort Hotel,September,37,12,2,5,2,HB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,84.58,0,1,0
City Hotel,October,43,21,1,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,76.46,0,1,0
City Hotel,April,18,25,1,2,2,BB,FRA,Online TA,TA/TO,A,D,0,No Deposit,Transient,121.8,0,2,0
Resort Hotel,May,21,25,2,3,2,BB,GBR,Groups,TA/TO,A,A,2,No Deposit,Transient-Party,56.2,0,0,0
City Hotel,July,28,9,0,1,1,BB,PRT,Online TA,TA/TO,A,A,1,No Deposit,Transient-Party,68.0,0,1,1
City Hotel,September,38,16,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
City Hotel,September,38,16,0,2,2,BB,ESP,Groups,TA/TO,A,B,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,November,45,4,1,2,2,BB,FRA,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,112.0,0,0,0
Resort Hotel,October,40,1,1,3,2,BB,FRA,Online TA,TA/TO,A,D,0,No Deposit,Transient,56.0,0,3,0
City Hotel,June,23,5,1,3,2,BB,AUS,Online TA,TA/TO,A,A,0,No Deposit,Transient,116.0,0,1,0
Resort Hotel,April,18,27,0,3,2,HB,PRT,Groups,Direct,A,A,1,No Deposit,Transient-Party,85.33,0,0,1
Resort Hotel,July,31,27,0,3,2,BB,ESP,Direct,Direct,F,G,0,No Deposit,Transient,231.0,1,0,0
Resort Hotel,May,23,30,1,2,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.67,0,1,1
City Hotel,July,30,29,2,1,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,130.5,0,0,0
City Hotel,August,34,25,0,2,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,140.0,0,2,1
City Hotel,April,17,19,0,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,115.0,0,0,1
Resort Hotel,January,4,27,0,2,2,BB,GBR,Online TA,TA/TO,A,A,1,No Deposit,Transient,48.0,0,1,1
City Hotel,October,41,6,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,2,No Deposit,Transient-Party,90.0,0,1,0
Resort Hotel,July,29,14,2,7,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,107.67,0,1,1
City Hotel,March,10,6,1,1,2,BB,ISR,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,80.0,0,1,0
City Hotel,September,37,6,2,0,2,BB,FRA,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,75.0,0,0,0
Resort Hotel,September,39,21,1,3,2,HB,BEL,Groups,Corporate,A,A,0,No Deposit,Transient,89.2,0,0,0
Resort Hotel,October,44,30,1,2,2,BB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,41.45,0,1,0
Resort Hotel,August,32,4,2,3,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,125.4,0,3,1
City Hotel,June,22,2,1,2,2,BB,FRA,Groups,TA/TO,A,A,2,No Deposit,Transient-Party,127.33,0,0,0
City Hotel,September,40,30,0,2,2,BB,GBR,Direct,Direct,A,A,0,No Deposit,Transient,105.0,0,0,0
City Hotel,March,11,16,1,3,1,BB,DEU,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient-Party,70.0,0,0,0
City Hotel,August,33,9,0,5,2,SC,ITA,Online TA,TA/TO,A,A,1,No Deposit,Transient,103.5,0,1,0
City Hotel,September,40,30,0,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,108.0,0,0,1
City Hotel,March,12,20,1,3,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.8,0,1,1
City Hotel,May,19,4,0,1,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient-Party,67.0,1,1,0
City Hotel,October,45,30,2,0,2,BB,PRT,Complementary,Direct,A,A,0,No Deposit,Transient,0.0,0,4,1
City Hotel,May,20,11,0,3,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,116.1,0,0,1
Resort Hotel,August,32,3,1,4,2,BB,PRT,Offline TA/TO,TA/TO,C,C,1,No Deposit,Contract,220.55,0,0,1
Resort Hotel,March,13,23,0,1,1,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,58.0,0,0,0
City Hotel,June,25,17,1,2,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,70.0,0,0,0
Resort Hotel,September,38,13,2,3,2,BB,PRT,Direct,Direct,E,F,0,No Deposit,Transient,132.6,1,2,0
Resort Hotel,November,45,3,0,3,1,BB,POL,Online TA,TA/TO,A,A,0,No Deposit,Transient,41.57,0,4,0
Resort Hotel,May,22,28,2,5,2,BB,GBR,Direct,Direct,D,D,3,No Deposit,Transient-Party,102.31,0,1,0
City Hotel,October,40,1,0,1,1,BB,PRT,Direct,Direct,A,A,1,No Deposit,Transient,180.0,0,0,1
City Hotel,March,12,18,0,2,1,HB,PRT,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,70.0,0,0,0
Resort Hotel,August,34,21,2,4,3,HB,ESP,Direct,Direct,D,D,0,No Deposit,Transient,248.0,0,1,0
City Hotel,July,28,13,0,2,2,HB,DEU,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,122.4,0,1,0
Resort Hotel,November,45,5,2,5,2,HB,PRT,Direct,Direct,F,E,1,No Deposit,Transient,83.06,0,0,0
Resort Hotel,August,34,18,0,3,2,BB,PRT,Online TA,TA/TO,A,A,2,No Deposit,Transient,172.0,0,1,0
City Hotel,September,40,26,1,3,2,BB,MYS,Online TA,TA/TO,D,D,0,No Deposit,Transient,95.17,0,1,0
City Hotel,August,34,17,0,2,2,BB,PRT,Direct,Direct,D,D,1,No Deposit,Transient-Party,147.0,0,1,1
Resort Hotel,June,26,22,0,3,2,HB,POL,Groups,Direct,A,A,0,No Deposit,Transient-Party,92.0,0,0,0
City Hotel,June,22,3,2,4,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,109.8,0,2,1
City Hotel,January,5,28,0,1,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,66.0,0,0,1
City Hotel,October,42,10,1,0,1,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,108.0,0,0,1
City Hotel,July,30,23,2,5,1,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.9,0,0,1
Resort Hotel,January,1,2,2,1,2,BB,USA,Online TA,TA/TO,E,E,1,No Deposit,Transient,57.2,0,1,0
Resort Hotel,March,11,7,1,0,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,40.0,0,0,0
Resort Hotel,April,14,8,4,11,2,HB,DEU,Groups,TA/TO,A,A,2,No Deposit,Contract,80.0,0,0,0
City Hotel,June,25,12,2,0,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,94.35,0,1,0
City Hotel,March,13,20,2,0,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,70.0,0,0,1
City Hotel,January,4,23,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,80.0,0,0,1
City Hotel,September,38,17,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient-Party,82.0,0,0,0
City Hotel,August,32,2,0,1,1,SC,DEU,Direct,Direct,A,A,1,No Deposit,Transient,120.7,0,0,0
Resort Hotel,October,43,24,0,1,1,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,39.0,1,0,0
City Hotel,September,39,21,0,1,2,HB,ITA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,117.0,0,1,0
Resort Hotel,August,33,14,0,2,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient,120.0,1,1,0
City Hotel,December,53,26,1,3,3,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,91.4,0,0,1
City Hotel,April,17,28,1,2,1,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,130.5,0,1,1
Resort Hotel,May,22,26,0,3,1,BB,GBR,Groups,Direct,A,A,2,No Deposit,Transient-Party,60.0,0,0,0
Resort Hotel,March,11,15,0,3,1,BB,ITA,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,40.0,0,0,0
City Hotel,July,29,16,2,2,3,BB,ITA,Online TA,TA/TO,D,D,0,No Deposit,Transient,180.5,0,0,1
Resort Hotel,September,37,11,1,2,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,98.0,0,2,0
City Hotel,February,10,29,1,3,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,99.4,1,1,0
City Hotel,November,46,6,2,2,1,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,145.8,0,0,1
City Hotel,March,11,15,2,6,2,BB,RUS,Online TA,TA/TO,F,F,1,No Deposit,Transient,208.0,0,0,0
Resort Hotel,June,26,25,2,5,2,BB,IRL,Online TA,TA/TO,E,E,0,No Deposit,Transient,100.29,0,2,0
City Hotel,February,8,20,1,3,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,69.7,0,0,1
Resort Hotel,May,21,22,3,7,3,BB,GBR,Direct,Direct,H,H,0,No Deposit,Transient,156.0,0,0,1
Resort Hotel,January,2,4,1,3,2,HB,PRT,Groups,Corporate,A,A,0,No Deposit,Transient-Party,68.0,0,0,0
City Hotel,April,17,17,2,1,1,BB,RUS,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.9,0,0,1
Resort Hotel,July,32,31,2,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,95.4,0,1,0
Resort Hotel,March,10,9,0,3,2,Undefined,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,46.0,0,0,1
City Hotel,July,30,24,1,3,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,122.0,0,1,1
Resort Hotel,December,52,24,2,1,2,HB,GBR,Direct,Direct,E,E,1,No Deposit,Transient,104.73,0,0,1
City Hotel,March,12,21,0,3,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,85.0,0,0,1
Resort Hotel,July,26,1,2,5,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,74.7,0,1,0
City Hotel,January,3,10,1,0,2,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,76.0,0,0,0
City Hotel,August,34,21,1,1,2,HB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,193.0,0,1,1
Resort Hotel,July,30,27,2,5,2,BB,PRT,Corporate,Corporate,E,E,0,No Deposit,Transient,146.0,0,0,1
Resort Hotel,December,53,30,0,4,2,Undefined,PRT,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,136.5,0,0,0
Resort Hotel,December,53,30,0,2,2,BB,PRT,Direct,Direct,A,C,0,No Deposit,Transient-Party,202.5,0,1,0
City Hotel,December,50,11,2,5,1,BB,AGO,Direct,Direct,E,E,0,No Deposit,Transient,104.0,0,1,1
Resort Hotel,August,31,3,2,8,2,Undefined,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,175.5,0,0,1
City Hotel,May,20,19,0,1,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
Resort Hotel,November,45,6,2,7,1,BB,FRA,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,40.0,0,0,0
City Hotel,June,23,5,1,4,2,BB,NOR,Online TA,TA/TO,D,D,0,No Deposit,Transient,157.5,0,2,0
City Hotel,May,20,18,0,3,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,0,1
City Hotel,July,28,12,1,4,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,125.1,0,2,0
Resort Hotel,July,30,17,2,2,2,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,Transient,115.2,0,0,1
City Hotel,March,11,12,1,1,2,SC,NZL,Online TA,TA/TO,A,A,0,No Deposit,Transient,71.1,0,1,0
City Hotel,March,10,5,2,3,2,SC,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,74.8,0,0,0
Resort Hotel,October,44,27,0,3,3,BB,PRT,Direct,Direct,E,E,0,No Deposit,Transient,136.67,0,1,0
City Hotel,August,35,29,0,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,December,53,29,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,62.8,0,0,1
City Hotel,May,19,2,1,3,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.45,0,0,0
City Hotel,September,38,13,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
City Hotel,July,28,9,2,1,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,110.0,0,0,1
City Hotel,April,14,3,2,5,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,83.16,0,1,0
City Hotel,June,23,1,0,1,2,BB,DEU,Online TA,TA/TO,A,A,1,No Deposit,Transient,125.1,0,2,0
Resort Hotel,May,22,26,1,3,2,BB,GBR,Groups,Direct,A,E,2,No Deposit,Transient-Party,46.0,0,0,0
City Hotel,January,1,5,0,2,2,BB,GTM,Online TA,TA/TO,A,A,1,No Deposit,Transient,68.0,0,0,0
City Hotel,October,44,26,1,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,72.24,0,1,1
City Hotel,August,33,7,1,0,2,SC,RUS,Online TA,TA/TO,A,D,0,No Deposit,Transient,98.0,0,1,1
City Hotel,October,44,25,2,2,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Contract,89.25,0,2,1
City Hotel,October,43,16,2,2,1,BB,DEU,Groups,TA/TO,A,A,2,No Deposit,Transient-Party,66.5,0,0,0
City Hotel,August,34,18,0,2,2,HB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
City Hotel,May,20,16,0,4,1,BB,PRT,Offline TA/TO,TA/TO,A,A,2,No Deposit,Transient-Party,88.5,0,0,0
Resort Hotel,March,13,27,1,1,2,BB,PRT,Groups,Corporate,E,E,0,Non Refund,Transient,73.0,0,0,1
City Hotel,January,1,1,2,0,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,65.0,0,1,0
Resort Hotel,September,40,30,2,4,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,65.0,1,1,0
City Hotel,May,21,16,1,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,60.0,0,0,1
Resort Hotel,September,40,28,2,5,2,HB,AUT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Contract,70.5,0,0,0
City Hotel,April,18,24,2,2,2,BB,PRT,Direct,Direct,A,A,2,No Deposit,Group,95.4,0,0,1
City Hotel,October,41,7,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,80.0,0,0,1
Resort Hotel,July,27,5,1,4,2,HB,PRT,Direct,Direct,A,A,6,No Deposit,Transient-Party,123.38,0,0,0
City Hotel,September,39,20,0,1,2,BB,BRA,Direct,Direct,A,A,0,No Deposit,Transient-Party,95.0,0,0,0
City Hotel,October,41,7,0,4,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,70.0,0,0,0
City Hotel,July,30,28,1,2,2,HB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,164.7,0,0,1
City Hotel,February,8,17,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
City Hotel,September,39,25,2,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,170.0,0,0,1
Resort Hotel,August,34,19,0,2,3,BB,USA,Online TA,TA/TO,A,F,2,No Deposit,Transient,219.3,0,2,0
Resort Hotel,June,24,6,1,2,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,109.0,0,0,1
City Hotel,October,44,28,1,2,2,SC,ITA,Online TA,TA/TO,A,D,0,No Deposit,Transient,109.0,0,1,0
Resort Hotel,November,47,19,2,2,2,BB,FRA,Online TA,TA/TO,D,D,0,No Deposit,Transient,58.0,0,1,0
Resort Hotel,September,39,18,2,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.0,0,2,0
Resort Hotel,April,17,28,1,2,1,BB,PRT,Direct,Direct,A,A,2,No Deposit,Transient,61.5,0,0,0
City Hotel,October,42,15,2,3,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,94.95,0,1,0
City Hotel,July,29,15,2,7,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,68.0,0,1,1
City Hotel,December,52,21,2,5,2,SC,NLD,Online TA,TA/TO,A,A,4,No Deposit,Transient,76.69,0,1,0
City Hotel,July,30,23,0,1,2,HB,PRT,Offline TA/TO,TA/TO,B,D,0,No Deposit,Transient-Party,98.2,0,1,0
Resort Hotel,July,30,19,2,1,2,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,145.0,0,0,1
City Hotel,June,26,27,0,1,2,HB,GBR,Direct,Direct,D,D,0,No Deposit,Transient,185.0,0,2,0
Resort Hotel,June,25,16,0,1,1,BB,PRT,Corporate,Corporate,A,C,1,No Deposit,Transient,65.0,0,0,0
City Hotel,September,40,29,2,5,2,BB,GBR,Online TA,TA/TO,B,B,3,No Deposit,Transient-Party,113.09,0,1,0
City Hotel,March,13,27,1,2,2,BB,IRL,Direct,Direct,A,A,0,No Deposit,Transient,88.2,0,2,0
City Hotel,October,42,14,2,6,2,BB,DEU,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,89.75,0,0,0
Resort Hotel,March,11,10,2,3,2,BB,DEU,Online TA,TA/TO,E,E,2,No Deposit,Transient,66.0,0,1,0
City Hotel,May,22,26,0,3,2,BB,PRT,Online TA,TA/TO,A,D,7,No Deposit,Transient,119.85,0,1,0
City Hotel,May,21,26,1,2,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,0,0
City Hotel,December,52,24,0,2,2,BB,PRT,Direct,Direct,B,B,0,No Deposit,Transient-Party,83.75,0,1,0
City Hotel,September,38,19,2,2,2,BB,POL,Online TA,TA/TO,A,A,0,No Deposit,Contract,94.5,0,2,0
City Hotel,May,22,31,0,3,1,BB,GBR,Groups,TA/TO,A,A,1,No Deposit,Transient-Party,91.33,0,1,0
Resort Hotel,March,10,11,2,5,2,HB,PRT,Groups,TA/TO,D,D,0,No Deposit,Transient-Party,71.0,0,0,1
City Hotel,January,5,25,3,5,1,BB,AGO,Online TA,TA/TO,A,A,0,No Deposit,Transient,64.08,0,1,1
City Hotel,October,41,6,0,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,80.0,0,0,1
Resort Hotel,February,7,14,0,2,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,60.5,0,3,1
City Hotel,July,30,22,0,1,2,BB,PRT,Corporate,Corporate,A,E,0,No Deposit,Transient-Party,75.0,0,0,1
City Hotel,October,42,16,1,2,2,BB,PRT,Online TA,TA/TO,A,D,0,No Deposit,Transient,89.25,0,0,0
City Hotel,April,15,6,0,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
City Hotel,October,42,17,0,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,67.0,0,0,0
City Hotel,June,23,6,0,2,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,107.1,0,1,1
Resort Hotel,August,32,8,2,5,3,HB,ESP,Online TA,TA/TO,A,A,1,No Deposit,Transient,269.43,1,0,0
City Hotel,February,5,1,0,1,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Group,45.0,0,0,1
City Hotel,February,8,24,0,2,2,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,118.0,0,2,1
City Hotel,April,15,7,2,3,2,BB,QAT,Online TA,TA/TO,D,D,0,No Deposit,Transient,125.2,0,0,1
Resort Hotel,July,32,31,1,0,2,BB,ESP,Online TA,TA/TO,A,D,0,No Deposit,Transient,201.0,0,1,0
City Hotel,May,21,21,2,1,2,BB,USA,Direct,Direct,A,B,0,No Deposit,Transient,120.0,0,0,0
City Hotel,May,19,4,0,4,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Contract,106.2,0,0,1
Resort Hotel,April,17,19,2,5,2,HB,PRT,Groups,Direct,D,D,0,No Deposit,Transient-Party,69.36,0,0,1
City Hotel,May,19,11,0,3,2,BB,NOR,Online TA,TA/TO,A,A,18,No Deposit,Transient,109.8,0,3,0
City Hotel,October,43,20,0,1,1,BB,PRT,Offline TA/TO,TA/TO,A,G,1,No Deposit,Transient,123.0,0,0,1
City Hotel,August,32,3,0,3,2,BB,USA,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient,87.03,0,3,0
City Hotel,August,34,23,0,2,2,BB,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,135.0,0,3,0
City Hotel,April,16,12,1,5,2,SC,CHE,Online TA,TA/TO,A,A,0,No Deposit,Transient,54.06,0,0,0
City Hotel,December,50,9,1,4,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,69.0,0,0,0
City Hotel,March,13,26,2,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,100.0,0,0,1
City Hotel,May,23,29,2,1,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,January,5,29,0,2,2,HB,ESP,Online TA,TA/TO,A,D,1,No Deposit,Transient,162.0,0,1,0
City Hotel,January,1,4,0,4,2,BB,ITA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,68.0,0,0,0
City Hotel,October,44,29,2,1,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,96.3,0,0,1
City Hotel,August,34,17,1,0,2,BB,ITA,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,76.5,0,2,0
City Hotel,August,33,9,0,1,2,SC,FRA,Online TA,TA/TO,A,G,0,No Deposit,Transient,158.0,0,2,0
